PS,Stat,r,p,star
gPi,range,0.7617440225035161,2.319131400771975e-16,***
PPF,range,0.7670651664322551,1.0738448896622149e-16,***
PPi,range,0.7648148148148148,1.4908266197684558e-16,***
PImd,range,0.7648148148148148,1.4908266197684558e-16,***
PILSM,range,0.7648148148148148,1.4908266197684558e-16,***
RTR,range,0.08300515705578997,0.46416817204099264,
PIR,range,0.765799343647445,1.2920676277980748e-16,***
RDPI,range,0.761251758087201,2.487825344344635e-16,***
ESPI,range,1,-0,***
ESPIID,range,0.9668541959681201,5.2794699243471304e-48,***
PSI,range,-0.2854899203000469,0.010259039322873023,*
RPI,range,0.761251758087201,2.487825344344635e-16,***
PQ,range,1,-0,***
PR,range,1,-0,***
NRW,range,1,-0,***
ESP,range,0.7510079699953117,1.0332924860797155e-15,***
CEV,range,0.7617440225035161,2.319131400771975e-16,***
PFI,range,0.7342240975152368,9.23330896644151e-15,***
APC,range,0.8164556962025316,2.726190475570963e-20,***
SI,range,0.9179324894514768,4.7191103601107514e-33,***
RSI,range,-0.7617440225035161,2.319131400771975e-16,***
...1,variance,0.5246601031411158,5.864636469900298e-7,***
CV_t,variance,0.7670417252695734,1.0775414845090564e-16,***
RN,variance,0.07058134083450539,0.5338500573655702,
RNN,variance,0.789592123769339,3.2411818372114082e-18,***
D_slope,variance,0.9840365682137834,3.073785823397012e-60,***
RC,variance,0.7638537271448663,1.7131629476991806e-16,***
gPi,variance,0.7670417252695734,1.0775414845090564e-16,***
PPF,variance,0.7714721050164088,5.587651599672114e-17,***
PPi,variance,0.7584857008907642,3.6797461727220216e-16,***
PImd,variance,0.7584857008907642,3.6797461727220216e-16,***
PILSM,variance,0.7584857008907642,3.6797461727220216e-16,***
RTR,variance,0.07212845757149555,0.5248989767240867,
PIR,variance,0.7598921706516644,3.0176138925945716e-16,***
RDPI,variance,0.7677449601500235,9.718176221101387e-17,***
ESPI,variance,0.990857946554149,1.2637639965807744e-69,***
ESPIID,variance,0.9552273792780122,5.2487563499795885e-43,***
PSI,variance,-0.3604313173933427,0.0010227672460106517,**
RPI,variance,0.7677449601500235,9.718176221101387e-17,***
PQ,variance,0.990857946554149,1.2637639965807744e-69,***
PR,variance,0.990857946554149,1.2637639965807744e-69,***
NRW,variance,0.990857946554149,1.2637639965807744e-69,***
ESP,variance,0.7653305203938116,1.3832936290582817e-16,***
CEV,variance,0.7670417252695734,1.0775414845090564e-16,***
PFI,variance,0.713314580403188,1.1339413444626184e-13,***
APC,variance,0.7882325363338022,4.051750199205775e-18,***
SI,variance,0.9253164556962025,1.3761258326461237e-34,***
RSI,variance,-0.7670417252695734,1.0775414845090564e-16,***
...1,mean_lower,-0.17550398499765588,0.11943187096729553,
CV_t,mean_lower,-0.5312470698546647,3.9802689507317924e-7,***
RN,mean_lower,-0.20039849976558838,0.07469440200856071,
RNN,mean_lower,-0.11509610876699485,0.3093284343509981,
D_slope,mean_lower,0.03717768401312705,0.7433600398578526,
RC,mean_lower,-0.5269573370839193,5.127898340180248e-7,***
